Brand,Type,Manufacture_year,Mileage,Price,Body_type,Fuel,Horse_Power,Gear_box,Transmission,Color,Governorate,Address
Volkswagen,Golf 7,12-2012,264 500 km,42 000 DT,Compacte,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :AIN ZAGHOUANE
Mercedes-Benz,Classe A,01-2021,50 000 km,165 000 DT,Utilitaire,Hybride (essence/électrique),6                                                                            CV,Automatique,Traction,Noir,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Land,Rover Range Rover Sport HSE    TU 239,05-2014,90 000 km,238 000 DT,SUV/4x4,Essence,24                                                                            CV,Automatique,Traction,Vert,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Mercedes-Benz,Classe S KIT AMG  jantes 20’’,04-2010,165 000 km,125 500 DT,Berline,Essence,18                                                                            CV,Automatique,Traction,Noir,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 10.00 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
BMW,Série 5 LUXYRY LINE,04-2018,46 000 km,183 000 DT,Berline,Essence,10                                                                            CV,Automatique,Traction,Blanc,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
BMW,Série 4 Gran Coupé 418i KIT M GRAN COUPÉ,06-2019,90 000 km,152 000 DT,Berline,Essence,7                                                                            CV,Automatique,Traction,Bleu,Tunis,ADRESSE :Tunis
Mercedes-Benz,Classe C KIT AMG,06-2019,119 000 km,173 500 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Noir,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Porsche,Cayenne V6 PACK NIGHT 3.6L,08-2012,198 000 km,159 000 DT,SUV/4x4,Essence,21                                                                            CV,Automatique,Traction,Blanc,Tunis,"ADRESSE :Show Room HBIB AUTO
Route de la Marsa km 13
(en face carrefour) Sidi Daoud Tunis pour visite. 
Heure travail de 10 00 H jusqu’à 19 00 H"
Mercedes-Benz,Classe C C180 KIT AMG  fulls,04-2015,145 000 km,112 000 DT,Berline,Diesel,6                                                                            CV,Automatique,Traction,Gris Shark,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 08 30 H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
Cupra,Formentor Hight-grade   2L,06-2022,20 000 km,182 000 DT,Pick up,Essence,11                                                                            CV,Automatique,Propulsion,Autre,Tunis,"ADRESSE :Show Room HBIB AUTO : Route de la Marsa km 13 
(en face carrefour) Sidi Daoud Tunis pour visite. 

Heure travail de 10.00  H jusqu’à 19 00 H 
TEL : 98 21 42 67 - 53 40 27 70."
